salesid;salespersonid;customerid;productid;quantity;discount;totalprice;salesdate;transactionnumber
43296;4;76999;324;20;;0;20180329;7K73JKROTWS2DZM90DD0
43417;3;75312;99;20;;0;20180329;06SCYQ8Y4GZVLG9N952G
43529;1;86411;308;22;;0;20180329;LHPI5FQ07U4IIP35S2WW
43736;12;46330;202;12;;0;20180329;X7LDUBTTTCI3GHYZ3GZN
44140;14;89147;403;23;;0;20180329;3J5PBYNI7QVJHQQUN9MP
44220;9;66104;283;17;;0;20180329;VZFSDTW8ISX8OOYRVN1K
44532;13;49769;192;13;;0;20180329;OF5ZOTC6TNJ2U7ALAJK8
44571;12;5733;171;2;0.1;0;20180329;1ACVMLI07LAMYI6FWNT4
44900;14;37333;253;10;;0;20180329;SY290JS8JXLZPJ0CDWYD
45253;3;2447;169;1;;0;20180329;GOZA4NRSC0TQPRNM1UCZ
45289;14;60657;288;16;;0;20180329;6UIFHMR0TFP9RNNEVAR9
45389;11;96821;341;25;;0;20180329;JVISI35QLIJNXJI410D3
45746;14;39997;55;11;;0;20180329;AP0MGWSMAMUG5IBBU80T
45755;1;45970;278;12;;0;20180329;7JFJ4F1GH8LN7REMQ53W
45894;10;24316;221;7;;0;20180329;YNOWXH077WM8PS9NYKPH
46710;14;37903;27;10;;0;20180329;RHQKQUXUO05M5PT3UJF5
46714;2;10077;58;3;;0;20180329;AM3SMMJHW40Z6MBVOW6Y
46912;18;48000;253;13;;0;20180329;KXWS8LP5JSCYOQIO9IG0
46913;20;58110;327;15;;0;20180329;EGYA7FI9W24H1O435YP0
47014;5;16136;39;5;0.2;0;20180329;ZLO4T56Z39JPC3PZ7O3S
47037;8;21268;35;6;;0;20180329;IOVBK46X60ZIQV62BNGZ
47339;8;14174;172;4;;0;20180329;JD4KVJ16MZRU4KQ04FZS
47427;8;28854;110;8;;0;20180329;A8ENBEZS2EVZ87Z5USSL
47958;16;62528;24;16;;0;20180329;EWVG0JS8P90G9G8G3XUI
47962;11;59175;139;15;0.2;0;20180329;ERGZ0FBBMSF9N3YY4OK0
48114;14;4399;91;2;;0;20180329;XTT6QWZGR7PX3C6EHY10
48119;14;88251;376;23;;0;20180329;5U7GEOXN6RTCU0BDTX4J
48171;5;78824;97;20;;0;20180329;GMX5MUO1MGCJ2FEAEGNI
48217;23;15227;200;4;0.2;0;20180329;JALXQA8E65IRMSTABAP8
48479;5;86337;183;22;;0;20180329;VH4955NO8HPADKOUZYZ6
48885;2;12833;111;4;;0;20180329;QIR8UGE3FEVPMISF8NN0
49233;13;80001;94;21;0.1;0;20180329;9BGE2NKQKM67LA2HDIKJ
49346;6;89657;191;23;;0;20180329;4VA30WBSH06G7OTEP2UV
49513;15;50221;374;13;0.1;0;20180329;NGKU1KK7Y4PCJJL31OFE
49523;17;67640;287;18;;0;20180329;C1PBZBRL63LTFU35H5O1
49802;23;7209;330;2;;0;20180329;NQK512X213YI9QAH0A6X
49959;16;98638;222;25;;0;20180329;5NUWWJO6V9XSMCQ1Q4KI
50036;19;89851;37;23;;0;20180329;P6Z40L0K29YQVKXAU43M
50112;7;26804;329;7;0.2;0;20180329;4QNFJOM5RIEV4PQTDHBQ
50212;3;20273;173;6;;0;20180329;VT9K3EFJCX3ZGKBIM874
50465;17;43149;219;11;;0;20180329;YVVPFS821OLMYE9PXL2M
50743;20;69562;233;18;;0;20180329;2BPT8XIOR9C887XMCGKS
51015;14;75819;251;20;;0;20180329;6UHZGES4CQIA58GUFE0F
51340;19;75643;102;20;;0;20180329;589IRVVYUH6VIC2ULPF3
51389;19;26499;422;7;;0;20180329;J6BMQ51O51VTEKEKC8V0
51764;19;54453;67;14;;0;20180329;U2IBK6KB3Y8HDIIE92Y1
51918;8;54424;401;14;0.1;0;20180329;AWQ8QX4XKQQL91FDKBPW
52188;2;50637;323;13;0.2;0;20180329;H3D7HVH2CWDLM7ZLD4WW
52404;14;20182;282;6;;0;20180329;CTQYAFZW7RC23AVGTCEG
52607;15;27082;348;7;;0;20180329;O3QDMOABMDYUMWU1VWCM
52871;22;6909;340;2;0.2;0;20180329;C7I0CNAD00T8NE0QMI8S
52886;1;43246;261;11;;0;20180329;A5X5XJH1MR2E120RR2W5
52965;8;59929;246;16;;0;20180329;HAIXLQFTR5213DMJZPYS
53122;9;5742;30;2;;0;20180329;RBVZPJUF19BB5PF8FUA5
53177;6;87567;173;23;;0;20180329;R23FT3WWYWC541AYJXQH
53389;23;62625;272;16;;0;20180329;RXQM0QVM1GDL11BX2RM2
53596;12;57577;102;15;;0;20180329;G2PZ8F3CJLURI8MD90VH
53602;1;42988;16;11;;0;20180329;9CXXZFKBFBNWNVT0XRH1
53647;10;8715;284;3;;0;20180329;5A4VN5G17G50HFBPCBCM
53798;11;69716;263;18;0.2;0;20180329;FFJ838SU8GIWI81T5AV9
53834;3;18133;124;5;;0;20180329;AECBAMC8GVB32QTR40Y6
53842;13;75995;60;20;0.1;0;20180329;FY59ZSZOQZAJYTG96ZNO
53871;7;84434;311;22;;0;20180329;WH6TU4ZE0NQM0NV47XJ3
53897;16;67873;102;18;;0;20180329;LITT1NWO29ALIDUEUZ8S
54039;12;36142;86;10;;0;20180329;8XRNFL80QJ1Z9FQV0BTO
54050;3;95305;114;25;;0;20180329;1TWGVOWQNT4TYAHGJ18P
54094;7;3258;61;1;;0;20180329;0OJHES9ARB21GT4EQYTF
54226;21;32817;448;9;;0;20180329;7GVRA15OQ4ZNRLX37CRX
54314;8;32296;373;9;0.1;0;20180329;ABKP57RYGBHR62VE4GU6
54430;9;98095;204;25;;0;20180329;37XW8XNGYLP4ZKVUMEZY
54449;20;10267;9;3;;0;20180329;QYHCK8MDJ07TCWYHNH1R
54531;6;84161;345;22;0.1;0;20180329;VQM8M729RVEE75LOCMSQ
54563;6;66724;138;17;0.2;0;20180329;NMUKCSHSVIWZLR5W9E0T
54590;22;75504;242;20;;0;20180329;YXDG1S2SKWNUUHUEYR3R
54731;13;84374;135;22;;0;20180329;MUMDROA90AN6C8R3LB3G
54797;13;52950;230;14;;0;20180329;CXWEZ1SPF8DXTE8OZAVF
54877;18;94511;331;24;;0;20180329;V9XEQB30VMF5H1ZCPARY
55089;1;28252;90;8;;0;20180329;WCRFK9AU28OTQOPZJ6MA
55091;13;96340;289;25;;0;20180329;9NMU0VVGUOE9AJ0RX62M
55253;17;25986;249;7;;0;20180329;MFF73IP4J8DSBCEZM52C
55684;3;91537;83;24;;0;20180329;135JGV96WCZIVBVCR2IK
55717;6;66125;150;17;;0;20180329;93KTBTSBXEMKMHFYWBM0
55742;23;58700;19;15;;0;20180329;MWVW5LD81ZNNLK5E5OKI
55807;2;13034;115;4;;0;20180329;XIBIKYHIAYQ7HGGYQJIV
55858;3;43682;193;12;;0;20180329;ICLLO2SG6HW6LOROQQWS
55986;21;28482;169;8;0.1;0;20180329;5K1VIHACOKEL0J9HWFAI
56059;10;89816;65;23;;0;20180329;JNOVVFFKES7WKL3IHE8O
56079;14;34823;219;9;0.2;0;20180329;5G61IT7MWDDBKE3E2KQ7
56218;18;76420;367;20;;0;20180329;YPH1D8Z5PRLDSMNF8FE2
56439;11;76859;129;20;;0;20180329;UHT4B7QFCTDYO8MNR6UT
56494;6;15237;19;4;0.2;0;20180329;XWOQZRTUBKT7AITVP229
56531;10;90565;67;23;0.1;0;20180329;ZS0APNBBEOE7TJ2OGJQE
56608;7;85284;117;22;0.2;0;20180329;VGSF7G5F5ZU26IAB2BHJ
56774;10;20912;407;6;;0;20180329;UC2M7MD3KYC1LDYGS1JH
56884;22;8870;387;3;;0;20180329;LSQZ5RSWDXLOABW38LUT
56890;1;5956;292;2;;0;20180329;W3FJ2U7AGWVRAN8X8Z56
56963;18;23764;219;7;;0;20180329;CPSY0388FHH37HN3NM5F
57290;18;50691;301;13;;0;20180329;YHBY8VFUF2EE5S4HIKA8
57375;12;58012;99;15;;0;20180329;IVTGH5HXV2SC57BAGU3X
57882;14;15319;4;4;;0;20180329;KHSJAWQT095NJS72Z4PB
57897;14;25600;336;7;;0;20180329;C5IA74XLVS8YHCTK5YNV
57912;17;29738;307;8;;0;20180329;FTYLSDVKS4WYGZZYIIP3
58001;14;87708;381;23;;0;20180329;QMKPBIV71FLO4E4TYX92
58018;15;84542;326;22;;0;20180329;TDFO6GPISXLBLM8ZDPJ0
58490;16;17267;412;5;;0;20180329;ZOWD4OGO8GXF886ZQROM
58501;2;46028;252;12;;0;20180329;OL24X4AQGWK3GDC8DQ6Y
58503;19;95023;313;25;0.2;0;20180329;9A9TIKRB167UQRVAAL8C
58590;5;67191;421;18;;0;20180329;0DQIS714IO7RRO0304XG
58693;17;46424;56;12;;0;20180329;5836XE57Q9K5G40DCPF4
58818;23;52602;171;14;0.2;0;20180329;L44QHH4SLO9P54CMHM57
58825;2;45536;20;12;;0;20180329;ISSHHSMWOS642AA5F053
58940;3;32278;83;9;;0;20180329;1CM241QWJIMC28P7I3G0
59007;19;25589;419;7;;0;20180329;WJVJN2W9RE6YADAWVD6S
59078;1;23266;258;6;;0;20180329;QQMXXCBLE5X8YH1WTITM
59160;3;37458;116;10;;0;20180329;2SS1LQ9CNT83ASP4FVJS
59167;20;89685;234;23;;0;20180329;WCR1UDOU7GI0Z2A08RC3
59222;5;31031;227;8;;0;20180329;CKI3M7RWIXGMUQ66FVKS
59724;1;75685;414;20;;0;20180329;N9W8OOYF9EX31D1X6J0Z
59854;1;11944;351;4;;0;20180329;2DZEATB7EJ1C0C5FO5MB
59930;16;510;12;1;;0;20180329;F2IKDGAYU60LZUPGLRUM
60016;7;95448;215;25;;0;20180329;MF3MTUU71LT3N7J74YU4
60273;14;81416;84;21;;0;20180329;LBB6G7F8QF8AUQJKJN59
60439;16;68870;343;18;;0;20180329;0D27OFQRYB6XLB4046AL
60650;18;58703;155;15;0.2;0;20180329;Q0GQXGH5U9QUJDT2KKW5
60908;6;42771;92;11;;0;20180329;BKBXPMMAE9MPY6DOP45I
61031;15;82675;292;21;;0;20180329;OC5M7A9ZPSV5H767MZ84
61399;14;54736;216;14;0.2;0;20180329;JHDX2R7MVWFIS4049EFI
61452;15;16131;447;5;;0;20180329;1KOJBP3QRPY4GICDHHCX
61453;2;58687;171;15;;0;20180329;3RB93F4EY4NC0SHRO60P
61663;8;87728;103;23;;0;20180329;X7LB6JVRWSPR6JDJRFKI
61678;16;9403;338;3;;0;20180329;G2R30UQUI9DWF34CYWPE
61883;10;58121;377;15;;0;20180329;RY0IU1GB7F9E8UTQKAWN
61963;6;84065;135;22;;0;20180329;IY4AU7RNRV8GX6UD9A74
62101;17;14950;372;4;;0;20180329;QVY23QKBJ2KMFQV56TTB
62290;6;77047;275;20;;0;20180329;P7F71LPZR08W2XYOVKEN
62598;20;41665;350;11;;0;20180329;J150PSOX4OXV0H2MGMBJ
62651;18;36783;371;10;;0;20180329;9WL52HMWGAU00JL17VY0
62680;16;93028;376;24;;0;20180329;WUPLU4X56QH5AH5QBMAD
62836;22;82334;311;21;;0;20180329;1K4OK03WEXN43QU2QFIY
62875;18;32932;325;9;0.1;0;20180329;7AQ40G126RA0ECQE4NCY
62890;11;32759;281;9;;0;20180329;OYES50RY0LBMQ4JA3H81
62952;18;23790;222;7;;0;20180329;W7OS390LUSIGP3Z024KR
63066;11;86715;8;22;;0;20180329;1F79UQV43QHS4V7DRVWE
63081;6;54745;230;14;;0;20180329;NQSR5YVMU9CAH4YJOV10
63241;16;49425;110;13;;0;20180329;01OIPTAPMW4KT6A4EJLG
63397;12;27258;195;7;;0;20180329;KWDT2XC3TH74WFVCK9O5
63518;8;42778;257;11;0.1;0;20180329;UYCRW3IKM42BOSEJO765
63692;1;16926;405;5;;0;20180329;CQY2PQ5SNBV5ERR3NDKN
63698;3;47568;248;13;;0;20180329;TD7DOP0C5RXOH2ER9NWH
63847;2;44058;234;12;0.2;0;20180329;2EJJLKJSEOSMGFHG7C2R
63882;2;68954;67;18;0.2;0;20180329;ON5GE1N92XIKMW69XQC5
63887;14;58272;270;15;;0;20180329;WJ9IMF4CMSUSU9X8J8FK
64372;10;49045;65;13;;0;20180329;VV8UCDAGDWPVUWVEEGII
64396;14;12197;187;4;;0;20180329;2AS6XXT975DEF9HG9UFM
64501;1;83753;256;22;0.2;0;20180329;H4LMLVSKFO3NLJKTVD24
64605;2;68070;280;18;;0;20180329;T7VS9X0O8WDQC59CRQ0O
64837;12;56384;89;15;0.2;0;20180329;BZGIN7W0M2DJQEVTBJND
65014;12;31310;23;8;;0;20180329;NJ3B06THROEA7LFXCON3
65046;3;2610;414;1;;0;20180329;5ZRG6ZEZFQEGNRDV7ZQJ
65354;20;36826;296;10;;0;20180329;S1YDO88X8PWYAZGDTSHM
65371;19;61289;158;16;0.1;0;20180329;RGYZ77YEKN8H2RELK7YV
65421;9;84858;36;22;;0;20180329;EZO2N0UFUNVUBR3NZOPK
65430;16;8079;303;3;;0;20180329;C7RMF26BU80EXVXR1W3J
65503;21;30535;205;8;0.2;0;20180329;CM3KT7OFJHP6UCMP61ZA
65561;17;48360;71;13;;0;20180329;A1GV8JKG4EFKFNESL2PQ
65766;5;45328;387;12;;0;20180329;VYEP0QRMLC1ERZJ00KOW
65880;12;35842;312;10;;0;20180329;22RON4XUJDEDOSETUOTF
65953;8;18135;447;5;;0;20180329;OLULBVZYI5N3DJSYY2K3
66038;11;83018;175;22;;0;20180329;VMOH3JR79XNT82K3RL7R
66168;2;73566;339;19;;0;20180329;9748VHHOJRIAVDNS63K8
66404;20;45165;170;12;;0;20180329;TOZQU68QJYRJYU6FFH6H
66423;13;2510;342;1;;0;20180329;2WXERIB5RBIYC0V0WAYX
66535;9;82351;23;21;;0;20180329;9OGABTYYQ4Y55SS98V7U
66608;15;83211;309;22;;0;20180329;WVZZQ06PL54KTLHVL7HK
66644;20;58051;86;15;0.1;0;20180329;9YG0XV48MKQ57ZU2OZ0R
66782;21;56997;49;15;0.1;0;20180329;TQ348BFL0WOH99H08S3W
66895;10;81983;220;21;;0;20180329;IS2VAK02G4J9GMB5PVLC
66985;5;77827;303;20;;0;20180329;RZC2XIYQD7H0MF16Z9OZ
67364;13;12762;448;4;;0;20180329;S0MK2H790RSYRKVIACGX
67754;10;78411;391;20;;0;20180329;QM1G2BETF93JAFEN89C2
67847;9;80206;206;21;;0;20180329;ITYB4C91LO7D0XVR1OYT
67883;11;37004;122;10;0.2;0;20180329;5NEKOHEZM03ZN1OFR9AJ
67891;19;22131;152;6;;0;20180329;HFP50MGYVH068ALJ3E9S
68045;6;69230;405;18;0.1;0;20180329;GWGQ24ATJ3VR0TPX6AEP
68219;3;1837;396;1;;0;20180329;TBM3QRYXF419U1959VPL
68401;11;62497;394;16;;0;20180329;3LLQX0E4CD5SCOOY5XFO
68657;12;6594;410;2;;0;20180329;3QLBTXZQM73W0UO1JC9M
68735;16;95195;182;25;;0;20180329;GQ77HGVD5W66UWMAD9ZS
68776;12;69849;9;18;0.2;0;20180329;GD11RTV7MCLUTMILVA24
68780;5;8541;425;3;;0;20180329;4N2PJNKICY8TUMORVNOA
68933;6;55551;33;15;;0;20180329;160CWARV3YCOUKXUGO2Q
68991;15;80620;54;21;;0;20180329;U9M60KGACBUCCHF7AFIS
69045;23;90856;362;23;;0;20180329;XQ485M6TGX0KGRLYEE6Z
69244;17;9274;286;3;;0;20180329;REWX7K6L30V0MLSGZ7PC
69360;20;67787;188;18;;0;20180329;PF1ZABPP7MRSZ6A1ESU4
69427;8;13121;149;4;;0;20180329;XUFKM4IQ3W51ZDI3GLNG
69784;3;60190;166;16;0.2;0;20180329;XXPGGG80NGD2AR84ED3K
69848;14;63382;111;17;;0;20180329;EE400RLOW42HR4ZNCSNP
69860;15;72878;175;19;0.1;0;20180329;AWBMCWFA648J8M0K7CWO
69884;14;18494;25;5;;0;20180329;OC95JL1NQHIDXTU7QOWX
69987;5;56116;61;15;0.2;0;20180329;D7D7EXLGY7LZ5ZV5SMPW
70137;22;58315;37;15;;0;20180329;7NU8NHV7CQPC5TGVOMR1
70155;21;73757;234;19;;0;20180329;F75CQI5YITTKEK3D6A2W
70195;21;91577;431;24;;0;20180329;UOSAE3JS54BONLB8MHE6
70438;17;64755;35;17;;0;20180329;VNEWWVSEHOLKB66U7SXI
70755;20;16704;72;5;;0;20180329;D0X5LAFC4N2K9BFC05TD
70972;4;9134;228;3;0.2;0;20180329;BV5SDK7VJXAWF1F9F7Z5
71110;7;59710;252;16;;0;20180329;0CM6MPBNHUF7AJ2BTNVX
71317;6;5434;130;2;;0;20180329;PHBM2V79OKQXAFOBAYRP
71352;23;40263;30;11;0.2;0;20180329;8XMWB9U5V3JLP0GVFHGS
71357;15;76632;231;20;;0;20180329;H77ZX2JNJV14431ZSJYH
71427;21;38834;284;10;;0;20180329;U5Y3PA2IHI27ZF26UY0L
71439;22;47604;132;13;;0;20180329;GTVVFJ90YDLXDCVNARA0
71926;3;65610;444;17;;0;20180329;HA3OXKSU9N026RTV73PQ
71986;23;46143;330;12;;0;20180329;IZS2877VT5IUUL6AEZ5T
72189;13;45652;376;12;;0;20180329;X3E43KTJR988DKQRNMI0
72268;12;29642;215;8;0.1;0;20180329;AW7QW62QDBH0G8W4WS9F
72306;2;80148;419;21;0.1;0;20180329;G4NF7DUIQID2S5GHIUGG
72379;10;9943;54;3;;0;20180329;IZRVA37EDEXX1KNH3Y3M
72519;5;56291;50;15;;0;20180329;6MNL7AUZ7RZ79I025JFJ
72591;1;93394;152;24;;0;20180329;XRA6NSDJ7CLREF83K8DE
72838;17;50085;322;13;;0;20180329;P3D183AC5DXBT1OA5L1L
73056;4;44799;405;12;;0;20180329;Y73F9A514XV9BT472CPK
73326;21;6524;141;2;;0;20180329;BR9BMVAKDL15SFCMJ7M6
73423;2;18416;153;5;;0;20180329;SZHWWRB9P9PSCI8GK1QL
73698;18;10275;60;3;0.1;0;20180329;AOCK38WTVTX9OJTGDIXA
74148;17;89101;319;23;;0;20180329;T804W6SGQOR8JS57XXUE
74151;15;19442;13;5;;0;20180329;D0ESHM5Z1NLOKF54DA02
74229;4;89068;21;23;0.1;0;20180329;3GAV6ZL8F99EOU4L4DYW
74329;4;23137;389;6;;0;20180329;H8E1RKXYXUFFEYKGZPXR
74392;7;13388;424;4;0.2;0;20180329;TTASNUU0XY0F1D7PRZ62
74434;1;41191;5;11;;0;20180329;9G6HSTDRPDM3KF9R5B6A
74559;7;52898;416;14;;0;20180329;F92LH7TKJU6C0OLJXAIG
74985;20;15370;67;4;;0;20180329;5NV8IYEXX9O753G6MPJK
75014;23;73804;185;19;;0;20180329;2WFKA7RR957O4913T0AD
75615;9;77363;178;20;;0;20180329;LYUH3M3O15YZSYAC3O15
75642;22;430;47;1;;0;20180329;3N98PIO5QIQOGI80KFIB
75749;11;16483;335;5;;0;20180329;VJURUSBKA5W54C0W3T41
75794;21;26822;383;7;;0;20180329;7UXRL2I5X1TVZ383N642
75865;6;90603;414;23;;0;20180329;22A8WYO8BN3VXIL2LWIU
76398;9;11231;98;3;;0;20180329;T71JKD5VE0GFJQG8WM51
76483;20;39573;99;11;;0;20180329;2FXOADBHXV96RK2Y6L23
76562;20;18972;309;5;;0;20180329;BY8EW16TDWS69CQ6OT7O
76719;10;86458;31;22;0.1;0;20180329;ZUDLB3U7JCVVX28JRWTQ
76892;19;30868;254;8;;0;20180329;YOQ6BG5W6GTTI4RNSK4F
77180;20;77668;78;20;;0;20180329;Y8A2BR67YKOXBVBSQIIX
77357;6;68549;406;18;;0;20180329;F1RQE4EXLX0837I2YN8J
77386;18;79443;385;21;0.1;0;20180329;46ER2JPR3UXTPQOXCMZZ
77542;17;85799;56;22;;0;20180329;VTOUFJZQTT5K8EA0WXLH
77701;7;25477;340;7;;0;20180329;XATVC37BNVMV14BKMJGJ
78184;21;36397;272;10;;0;20180329;XPY3LQRRC7PWXTRTG4UM
78281;19;51976;37;14;;0;20180329;ZYHP8QY2GEQR5EKO4BE3
78389;12;68525;219;18;;0;20180329;S8RCK0HAW6P9UM7VSNZ0
78488;14;41023;284;11;0.1;0;20180329;Q4U66FCJHN9HQ0LI7GC9
78538;5;59173;92;15;;0;20180329;1K1FQG918WC9TZOEM8O7
78543;12;3558;156;1;;0;20180329;HPC0SPSDMR2Y3OEZ6X9F
78643;10;51247;75;13;;0;20180329;7SYLZFI3XU87ME3C4O4O
78787;9;51007;103;13;;0;20180329;9BWEQIPVKFOJOU9TNXVW
78952;21;25546;148;7;0.1;0;20180329;HAK1YJSMYEOZZ88QJA1F
79112;2;65532;30;17;;0;20180329;MK4H3O935WQEIWQ9MUAE
79184;5;46874;192;12;;0;20180329;T6XR7EBAPU0FEZTSAVIT
79693;20;23130;148;6;;0;20180329;9GGE77UOCWJ5X5EWUL33
79844;12;80934;356;21;;0;20180329;LK4VXZXKIDTSBX16WQXV
79970;6;94340;451;24;;0;20180329;BJUUVOF9QZVJB628WK53
80206;21;43437;357;11;;0;20180329;MWLFYLLC9MIJMVEPXMYP
80341;6;8716;402;3;;0;20180329;KGPEHBJBIVQ2HLF41PFY
80365;20;41039;118;11;;0;20180329;AT0ZFFOKMSHG87L01XDV
80809;6;81134;93;21;0.2;0;20180329;60VSRJC3YW9RTVOBHRA2
80840;9;77138;415;20;;0;20180329;BVC96IYBSTE46QMOL5FR
80961;22;29519;395;8;;0;20180329;1HFIAKLZX8NE7SBI73UF
81102;22;39498;279;10;0.2;0;20180329;C8E94ECK4Z66D0E2GZ7T
81153;22;45994;128;12;;0;20180329;YKWW58DKEHZC6ZYK647I
81241;2;30512;83;8;0.2;0;20180329;SL4GBVMPA4579SI90GRU
81476;13;49652;186;13;;0;20180329;9CJSWZEPUQFC7UF06MWR
81676;21;73208;244;19;;0;20180329;TAM35APSZBV8HI4L0AG7
81704;22;54828;2;14;;0;20180329;F79L21ONOL4J0DMCPV5Z
82024;17;87592;72;23;;0;20180329;QJE5F53L44H2SNGL03Z3
82259;11;43732;204;12;0.2;0;20180329;2NDO9E0IYNR4F0UQ0HIL
82532;17;35449;134;9;;0;20180329;NJI3WF16KHBXAJXV7LBQ
82542;20;10697;445;3;;0;20180329;98BK00YLXHQ6EFCI832K
82576;20;33472;23;9;;0;20180329;XZDKDPEX0QS450EW2T0A
82579;15;78109;23;20;0.1;0;20180329;Q53S2U1L1C5QPX9RRWP5
82766;23;25548;79;7;;0;20180329;KZF71DXNGJ6BOIHOZJEK
83010;4;89601;236;23;;0;20180329;QX2A919TFKRYSF24WXSV
83019;14;22307;98;6;;0;20180329;I2LKE4HSRWQL902RG1UL
83038;15;39682;248;11;;0;20180329;9FJ8MRACPWRA7IINAYJI
83131;21;36287;27;10;;0;20180329;DGAT0LQ7E53N4ZTJ7PF3
83137;12;97506;339;25;;0;20180329;IZ0NWUZO7SRGBCGKVZ0D
83171;23;51020;136;13;;0;20180329;XQLXFNOOKTOQEQU0RBLK
83381;5;35306;284;9;;0;20180329;IRTGDDQERLHS61UC0127
83458;6;52719;429;14;;0;20180329;1AULPARTEL2N05XC8ZI9
83570;16;32388;371;9;;0;20180329;DKWDN87VZDQBA3O29ZJM
83667;9;90123;117;23;;0;20180329;1KATGCWPN344ULUGGI8M
84040;11;96291;331;25;;0;20180329;PO7O29G8KFBBT9UXCUXZ
84079;15;86655;121;22;;0;20180329;ENYI6V8LSFVNIV7PJHN3
84406;5;32109;241;9;;0;20180329;X3WSVJWXPA13RENU4P78
84431;10;66682;40;17;;0;20180329;Z8VHO5O6TEKKGJSZJ5HC
84734;13;27959;407;8;0.1;0;20180329;04GUEQJPJENDGSGRYEP0
84808;3;90329;294;23;;0;20180329;T2BRCQ2031WHNIDL2BHX
84816;7;13159;183;4;;0;20180329;3MEV1842IW2CPBLQYK9J
84838;11;42649;410;11;;0;20180329;2JXUFYGJSU1NW2BV2AZW
84888;14;79019;41;21;;0;20180329;OICVC4A9JOP1DMPWM925
85035;1;28074;293;8;0.2;0;20180329;X07VI7ILI6VRXJM76ZT4
85151;22;59396;46;16;0.2;0;20180329;AB3CG6OX0AS2UWMPLITH
85223;23;64387;82;17;;0;20180329;YGBVJ8ZCLU8X6GRP3IVV
85237;18;23533;209;6;;0;20180329;SE88FP92YZGWS8W2M63S
85393;2;20197;174;6;;0;20180329;QH5XM3GB1SCOYT9U9XU1
85398;14;59299;290;16;;0;20180329;D8ARLWT05CLH7UN3WKGB
85782;23;40929;250;11;0.1;0;20180329;XRFUY479L5ZCMOPAKZZA
86314;20;64912;173;17;;0;20180329;QHAGS1G6ULWYTYX6G086
86365;15;88233;370;23;;0;20180329;QEVMRJ2L71FY7VWF31OQ
86411;9;80520;441;21;;0;20180329;LMQYPJ98KDOEK9UDI19X
86475;11;20426;381;6;;0;20180329;R28K3L0MPCH3IVP9UL6G
86591;18;72851;80;19;;0;20180329;9X3E3KRZS077VKBN2CFV
86739;2;21925;424;6;;0;20180329;N0C54ITUWU49NG4KC1HM
86901;13;37462;56;10;0.2;0;20180329;AHZUCHGSBRC70GD7SPWQ
86927;15;19397;29;5;;0;20180329;8ZSY5XNEDIQ9UDPSL7AE
86967;21;20709;92;6;;0;20180329;NKHMPYSO4CKMN60R9FCR
87000;7;69235;371;18;;0;20180329;63PQFAGWLQGMJVFHWWJY
87222;6;25627;368;7;;0;20180329;HQWP52FH7C5ZU0TLGFKF
87261;7;61285;59;16;;0;20180329;3O0CYTN6UEDR6B5VZPIB
87403;19;97109;346;25;;0;20180329;8IIZKAF9J2BBJLYUX1P6
87508;19;76539;321;20;0.1;0;20180329;FHOTNTV9SQOEKQE025JT
87622;19;314;129;1;0.2;0;20180329;3Q41ATX3SKHMCL6LU2OR
87654;23;10272;352;3;;0;20180329;1MTN7C94F7BGKOTJI3MP
87857;4;63722;409;17;;0;20180329;WIAJL9TUQLV4MESGM2JD
87861;23;66379;97;17;;0;20180329;E2EJ9AIQQ62QTF39WEMD
87940;5;41336;331;11;;0;20180329;DPSWVV8B27VCPJWSD2DE
87943;19;16144;304;5;;0;20180329;S8YI2MUS6XQTG0IS7JL5
88133;6;16915;36;5;0.1;0;20180329;V595OKGQY9R4QJK9CZFF
88517;18;65704;16;17;;0;20180329;JQHSQF58IKFHPII6AMII
88567;19;88141;225;23;;0;20180329;T1IJB69O6BVTNNM9NPY2
88607;13;62553;362;16;;0;20180329;P3XINY54AJP6ML1XD555
88898;5;96054;70;25;;0;20180329;CXB4CTGH9NXDNLL9AEPS
89060;8;83529;293;22;;0;20180329;5SKTN3M0VDKYNGZWC07S
89347;17;79880;431;21;0.1;0;20180329;5XV4WTSUQAM8H4LO1PI3
89732;20;58673;86;15;;0;20180329;KR74NPOF1Y0XLOP5LG3U
89742;13;34254;263;9;;0;20180329;UPM4MOEMBW6F0BC106HW
89792;1;68381;87;18;;0;20180329;YTPO376DQHVAXNH5QIZQ
89816;14;2078;77;1;0.2;0;20180329;LM6SFWWGNRRKI3T0B1UU
89930;17;63532;15;17;0.2;0;20180329;OGW6VHZ6QVI557VIDGEV
89986;3;47791;21;13;;0;20180329;OC539ERFWCX0RIO3WBQ2
90144;3;71222;293;19;0.1;0;20180329;AMC1NOZHPITZ8MB37X5R
90221;4;28589;237;8;;0;20180329;LKSBDMRVSUSHZEDEZO7H
90388;5;21162;96;6;;0;20180329;AGQBVODSA1XYJNBRP7R7
90485;13;61648;106;16;;0;20180329;ZUZN3WSTSILIBCTSMH2J
90653;16;40552;228;11;0.1;0;20180329;GFMS4PSUX60UD6DL4X59
90679;23;43056;60;11;;0;20180329;PRINF2RB5BF5NDCMVY6W
90697;22;26306;131;7;;0;20180329;Y44TL6YRO114W0ZFDIJ4
90786;21;48917;398;13;;0;20180329;L42QBD7CGIXHJSDOS82O
91002;20;26858;411;7;0.2;0;20180329;QJEKBS9P7HT5GLGUWY4Y
